model,officers,zone,normalized_risk,assigned_officers,ideal_share
severity-only,20,Bouddha,94.5968,2,2.0087
frequency-severity,6,Thamel,5.1151,0,0.0851
frequency-severity,6,Kalimati,29.4118,1,0.4895
frequency-severity,6,New Baneshwor,4.3478,0,0.0724
frequency-severity,6,Chabahil,9.2072,0,0.1532
frequency-severity,6,Koteshwor,84.0153,1,1.3984
frequency-severity,6,Balaju,32.4808,1,0.5406
frequency-severity,6,Patan,25.9591,0,0.4321
frequency-severity,6,Gongabu,9.9744,0,0.166
frequency-severity,6,Kirtipur,59.9744,1,0.9982
frequency-severity,6,Bouddha,100,2,1.6644
frequency-severity,12,Thamel,5.1151,0,0.1703
frequency-severity,12,Kalimati,29.4118,1,0.9791
frequency-severity,12,New Baneshwor,4.3478,0,0.1447
frequency-severity,12,Chabahil,9.2072,0,0.3065
frequency-severity,12,Koteshwor,84.0153,3,2.7967
frequency-severity,12,Balaju,32.4808,1,1.0812
frequency-severity,12,Patan,25.9591,1,0.8641
frequency-severity,12,Gongabu,9.9744,1,0.332
frequency-severity,12,Kirtipur,59.9744,2,1.9965
frequency-severity,12,Bouddha,100,3,3.3288
frequency-severity,20,Thamel,5.1151,0,0.2838
frequency-severity,20,Kalimati,29.4118,2,1.6318
frequency-severity,20,New Baneshwor,4.3478,0,0.2412
frequency-severity,20,Chabahil,9.2072,0,0.5108
frequency-severity,20,Koteshwor,84.0153,5,4.6612
frequency-severity,20,Balaju,32.4808,2,1.8021
frequency-severity,20,Patan,25.9591,1,1.4402
frequency-severity,20,Gongabu,9.9744,1,0.5534
frequency-severity,20,Kirtipur,59.9744,3,3.3274
frequency-severity,20,Bouddha,100,6,5.5481
current-severity-recency,6,Thamel,6.2457,0,0.1025
current-severity-recency,6,Kalimati,31.2812,1,0.5134
current-severity-recency,6,New Baneshwor,4.9624,0,0.0814
current-severity-recency,6,Chabahil,10.3838,0,0.1704
current-severity-recency,6,Koteshwor,83.1269,1,1.3642
current-severity-recency,6,Balaju,32.6904,1,0.5365
current-severity-recency,6,Patan,25.4822,0,0.4182
current-severity-recency,6,Gongabu,10.7939,0,0.1771
current-severity-recency,6,Kirtipur,60.6376,1,0.9951
current-severity-recency,6,Bouddha,100,2,1.6411
current-severity-recency,12,Thamel,6.2457,0,0.205
current-severity-recency,12,Kalimati,31.2812,1,1.0267
current-severity-recency,12,New Baneshwor,4.9624,0,0.1629
current-severity-recency,12,Chabahil,10.3838,0,0.3408
current-severity-recency,12,Koteshwor,83.1269,3,2.7284
current-severity-recency,12,Balaju,32.6904,1,1.073
current-severity-recency,12,Patan,25.4822,1,0.8364
current-severity-recency,12,Gongabu,10.7939,1,0.3543
current-severity-recency,12,Kirtipur,60.6376,2,1.9903
current-severity-recency,12,Bouddha,100,3,3.2822
current-severity-recency,20,Thamel,6.2457,0,0.3417
current-severity-recency,20,Kalimati,31.2812,2,1.7112
current-severity-recency,20,New Baneshwor,4.9624,0,0.2715
current-severity-recency,20,Chabahil,10.3838,1,0.568
current-severity-recency,20,Koteshwor,83.1269,5,4.5474
current-severity-recency,20,Balaju,32.6904,2,1.7883
current-severity-recency,20,Patan,25.4822,1,1.394
current-severity-recency,20,Gongabu,10.7939,1,0.5905
current-severity-recency,20,Kirtipur,60.6376,3,3.3171
current-severity-recency,20,Bouddha,100,5,5.4704
